StockCode,Description,TotalUnitsSold,TotalSales,MaterialCost,LaborCost,PackagingCost,OverheadPct,OverheadCost,ShouldCost,Vendor1Quote,Vendor2Quote,CostDiscrepancy_Vendor1,DiscrepancyPct_Vendor1,TotalDiscrepancyImpact_Vendor1,TotalVendor1Cost,CostDiscrepancy_Vendor2,DiscrepancyPct_Vendor2,TotalDiscrepancyImpact_Vendor2,TotalVendor2Cost
10002,INFLATABLE POLITICAL GLOBE ,823,699.55,2.8108904159657686,2.665859431148456,0.7817049575055421,0.185611561259998,1.1616415673606104,7.420096371980376,6.744105751156581,7.734453803632869,-0.6759906208237956,-9.110267399982273,-556.3402809379837,5550.399033201866,0.31435743165249264,4.23656804296455,258.71616625000144,6365.455480389851
10080,GROOVY CACTUS INFLATABLE,291,114.41,4.827500072434707,2.0805930635806145,0.20057348696526384,0.2158228757211197,1.5342128731144105,8.642879496094995,7.800607895371467,9.487701644319595,-0.842271600723528,-9.745266043615223,-245.10103581054665,2269.976897553097,0.8448221482245994,9.774776434246306,245.84324513335844,2760.921178497002
10120,DOGGY RUBBER,193,40.53,4.061978796339918,2.689331818180449,0.9494827440728122,0.2392013112661831,1.8420398691654027,9.542833227758582,9.089963957076812,9.870172476087522,-0.4528692706817701,-4.745647962959737,-87.40376924158163,1754.3630437158247,0.3273392483289399,3.43021030040389,63.1764749274854,1904.9432878848916
10125,MINI FUNKY DESIGN TAPES,1226,930.3,3.595304694689628,1.8626034126820292,0.33162029791424996,0.13916907166496156,0.805723293541565,6.595251698827472,6.257706177806609,6.996883568553986,-0.33754552102086244,-5.1180081736815675,-413.8308087715773,7671.9477739909025,0.401631869726514,6.089712539673317,492.40067228470616,8578.179255047186
10133,COLOURING PENCILS BROWN TUBE,2384,1143.6100000000001,2.046065241548528,1.75808097076607,0.3868643473778874,0.15022854264984717,0.6296094086127224,4.820619968305208,4.61173631001832,5.009454116300458,-0.20888365828688826,-4.333128511690703,-497.9786413559416,10994.379363083675,0.18883414799524978,3.9172170641287543,450.1806088206755,11942.538613260293
10135,COLOURING PENCILS BROWN TUBE,1938,1786.69,2.045980821176709,2.830121465034445,0.4107787565550786,0.16963996304289097,0.8968663047070246,6.183747347473257,5.8920656445927495,6.7686565804674,-0.2916817028805072,-4.7169084778292465,-565.279140182423,11418.823219220749,0.5849092329941437,9.458815183209962,1133.5540935426504,13117.656452945823
11001,ASSTD DESIGN RACING CAR PEN,1252,1953.0,1.703292642588698,1.5023385350968026,0.23025610924162826,0.23907622566039832,0.8214389643530841,4.257326251280213,3.870520805864925,4.676765190828925,-0.3868054454152876,-9.085642550860932,-484.2804176599401,4845.8920489428865,0.41943893954871214,9.85216811661036,525.1375523149876,5855.310018917814
15030,FAN BLACK FRAME ,143,41.47,4.531616510212273,2.688424650572286,0.29844169887225996,0.23520802852159856,1.768407530893311,9.28689039055013,8.574458764802284,10.077908966227843,-0.7124316257478469,-7.671368948994825,-101.8777224819421,1226.1476033667266,0.7910185756777128,8.517582768960139,113.11565632191294,1441.1409821705815
15034,PAPER POCKET TRAVELING FAN ,6419,697.0600000000001,3.6039025411012306,1.9680411450188082,0.9890799383553297,0.11348174201509571,0.744556390307662,7.305580014783031,6.6507233743183765,7.635665883381028,-0.6548566404646543,-8.963787120797184,-4203.524775142616,42690.99333974966,0.3300858685979975,4.518270526502484,2118.8211905305457,49013.33930542282
15036,ASSORTED COLOURS SILK FAN,21876,16044.44,3.9782540222861593,2.0281908851025197,0.45217338990182887,0.11978947386307164,0.7736744877148376,7.232292785005345,6.996793364208367,7.6103898052103505,-0.2354994207969785,-3.2562207836114925,-5151.785329354701,153061.85163542224,0.37809702020500513,5.22789980224405,8271.250414004693,166484.88737878163
15039,SANDALWOOD FAN,1559,1133.15,1.5720457300353086,1.616936562978968,0.2922408722712395,0.17432637659959574,0.6068690205387995,4.0880921858243155,3.9235558470036866,4.249099467299003,-0.1645363388206289,-4.024770757155812,-256.51215222136045,6116.823565478748,0.16100728147468768,3.938445469331374,251.0103518190381,6624.346069519146
16008,SMALL FOLDING SCISSOR(POINTED EDGE),2892,360.71,4.89468448256698,2.1460844012380313,0.2855930089396987,0.11599289092081352,0.849805895871542,8.176167788616251,7.490368496938347,8.922330072173555,-0.6857992916779043,-8.387783976654058,-1983.3315515324994,21662.1456931457,0.7461622835573039,9.126063736071952,2157.901324047723,25803.37856872592
16010,FOLDING CAMPING SCISSOR W/KNIF & S,30,3.5999999999999996,4.413549242801476,1.6504223925524226,0.7755679741359776,0.15183713100230462,1.0384960716815657,7.8780356811714425,7.30533982304573,8.611990214325914,-0.5726958581257122,-7.269526076080858,-17.180875743771367,219.1601946913719,0.7339545331544715,9.316466221505287,22.018635994634145,258.3597064297774
16011,ANIMAL STICKERS,1773,372.33,2.2431868873739664,1.0785388284833046,0.8836549312261128,0.12225780673262165,0.5141406143882278,4.719521261471612,4.612525935936305,4.972061206403198,-0.10699532553530666,-2.267080061886278,-189.7027121740987,8178.008484415069,0.25253994493158594,5.350965297968389,447.75332236370184,8815.46451895287
